source_summary,mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_ari_rubin_se,mean_centroid_error,mean_centroid_error_rubin_se,mean_cluster_size_error,mean_cluster_size_error_rubin_se,mean_silhouette,mean_silhouette_rubin_se,mean_runtime_seconds
simulation_summary_knn.csv,MAR,0.1,knn,0.985193598,0.005266202,,0.017689106,,0.001,,0.571996453,,0.145862957
simulation_summary_kpod.csv,MAR,0.1,kpod,0.948980732,0.009143133,,0.061147013,,0.00241,,0.572843862,,0.860750026
simulation_summary_median.csv,MAR,0.1,median,0.90883729,0.018506442,,0.347354003,,0.0072876,,0.390606455,,0.003645217
simulation_summary_mice_pmm.csv,MAR,0.1,mice_pmm,0.983762865,0.004039392,0.003586452,0.024924577,0.004521412,0.00130932,0.003814001,0.562245032,0.005926702,30.16024264
simulation_summary_random_forest.csv,MAR,0.1,random_forest,0.991916452,0.003153056,,0.011558669,,0.0005488,,0.56998322,,6.117073078
simulation_summary_knn.csv,MAR,0.2,knn,0.863950781,0.023532532,,0.128053756,,0.0165848,,0.498000876,,0.222810375
simulation_summary_kpod.csv,MAR,0.2,kpod,0.822810982,0.022806897,,0.195691711,,0.0073524,,0.55228343,,1.24824314
simulation_summary_median.csv,MAR,0.2,median,0.75809458,0.026525966,,0.690710173,,0.0162232,,0.302029538,,0.003686378
simulation_summary_mice_pmm.csv,MAR,0.2,mice_pmm,0.956630363,0.006248092,0.005858715,0.064140588,0.007412596,0.00299628,0.003881042,0.544556989,0.005999423,48.30769247
simulation_summary_random_forest.csv,MAR,0.2,random_forest,0.982284572,0.004982004,,0.019858065,,0.0010676,,0.569283021,,7.452574787
simulation_summary_knn.csv,MAR,0.3,knn,0.74318267,0.029921052,,0.297489504,,0.0309848,,0.394864445,,0.368690712
simulation_summary_kpod.csv,MAR,0.3,kpod,0.651607959,0.024569632,,0.399455832,,0.0096632,,0.518241348,,1.516111871
simulation_summary_median.csv,MAR,0.3,median,0.600941835,0.024600575,,1.00033445,,0.0174608,,0.243430418,,0.003716257
simulation_summary_mice_pmm.csv,MAR,0.3,mice_pmm,0.908457854,0.009519029,0.009310905,0.121885407,0.011880951,0.0044942,0.004074024,0.517761893,0.006488057,61.74686942
simulation_summary_random_forest.csv,MAR,0.3,random_forest,0.96230144,0.00908068,,0.033123252,,0.0025428,,0.566610024,,8.237691411
simulation_summary_knn.csv,MAR,0.4,knn,0.512679096,0.02543358,,0.570697273,,0.0552828,,0.296223845,,0.510694704
simulation_summary_kpod.csv,MAR,0.4,kpod,0.501475478,0.025163506,,0.646500593,,0.0097888,,0.490741334,,1.660686462
simulation_summary_median.csv,MAR,0.4,median,0.469548173,0.02390358,,1.316217599,,0.0131644,,0.207785101,,0.003739262
simulation_summary_mice_pmm.csv,MAR,0.4,mice_pmm,0.859407512,0.012965375,0.012893101,0.186154604,0.016830513,0.00724372,0.004346934,0.493426818,0.007604111,72.74075479
simulation_summary_random_forest.csv,MAR,0.4,random_forest,0.931846309,0.018163369,,0.057088548,,0.0048092,,0.561520231,,9.051840234
simulation_summary_knn.csv,MAR,0.5,knn,0.41468606,0.027151815,,0.833392394,,0.0308796,,0.213338302,,0.573404618
simulation_summary_kpod.csv,MAR,0.5,kpod,0.437479706,0.030931996,,0.851730849,,0.043146,,0.49946155,,2.289929592
simulation_summary_median.csv,MAR,0.5,median,0.434230103,0.042935462,,1.897264194,,0.0572728,,0.258158506,,0.003732928
simulation_summary_mice_pmm.csv,MAR,0.5,mice_pmm,0.780136209,0.018389507,0.016374709,0.280470767,0.023634449,0.0099338,0.004762881,0.461436139,0.008937516,78.60715809
simulation_summary_random_forest.csv,MAR,0.5,random_forest,0.875258914,0.034219164,,0.098775663,,0.0077728,,0.550097333,,9.930177571
simulation_summary_knn.csv,MCAR,0.1,knn,0.990870172,0.003533567,,0.037275402,,0.0010144,,0.57670743,,0.170968449
simulation_summary_kpod.csv,MCAR,0.1,kpod,0.966176519,0.006261064,,0.107090244,,0.003576,,0.588120129,,0.64519993
simulation_summary_median.csv,MCAR,0.1,median,0.957021155,0.006520891,,0.460933646,,0.0027152,,0.438455442,,0.00365699
simulation_summary_mice_pmm.csv,MCAR,0.1,mice_pmm,0.988121659,0.003565334,0.003132964,0.041864975,0.006271995,0.00108152,0.003802764,0.564753541,0.005988128,32.29803392
simulation_summary_random_forest.csv,MCAR,0.1,random_forest,0.99389502,0.00297293,,0.02445441,,0.0006672,,0.571699076,,6.110771039
simulation_summary_knn.csv,MCAR,0.2,knn,0.976163942,0.005455576,,0.068564209,,0.0016276,,0.579931193,,0.232464861
simulation_summary_kpod.csv,MCAR,0.2,kpod,0.929570972,0.009020543,,0.183066261,,0.0062952,,0.603371113,,0.75452048
simulation_summary_median.csv,MCAR,0.2,median,0.917630541,0.009875766,,0.891544918,,0.0057256,,0.363503451,,0.003694914
simulation_summary_mice_pmm.csv,MCAR,0.2,mice_pmm,0.973734771,0.004761261,0.004473036,0.079603307,0.009478959,0.0020754,0.003832453,0.558594735,0.006092729,49.19516534
simulation_summary_random_forest.csv,MCAR,0.2,random_forest,0.987838887,0.003773867,,0.046369931,,0.0012644,,0.574837625,,7.552184789
simulation_summary_knn.csv,MCAR,0.3,knn,0.94669916,0.009298665,,0.180557149,,0.0026204,,0.551154126,,0.292195286
simulation_summary_kpod.csv,MCAR,0.3,kpod,0.880835279,0.012428222,,0.274385051,,0.010272,,0.617323765,,0.899881018
simulation_summary_median.csv,MCAR,0.3,median,0.869175062,0.0133235,,1.304190685,,0.0094708,,0.311019952,,0.003720513
simulation_summary_mice_pmm.csv,MCAR,0.3,mice_pmm,0.954599096,0.006204257,0.006145451,0.12352784,0.012201886,0.00324448,0.003881214,0.549988236,0.006247961,65.7546009
simulation_summary_random_forest.csv,MCAR,0.3,random_forest,0.980178721,0.004575396,,0.067203404,,0.0017768,,0.578383374,,7.929567355
simulation_summary_knn.csv,MCAR,0.4,knn,0.906258886,0.011009923,,0.441831,,0.0049452,,0.478031208,,0.343731362
simulation_summary_kpod.csv,MCAR,0.4,kpod,0.817482967,0.014759553,,0.391242936,,0.0156012,,0.630100475,,1.098831997
simulation_summary_median.csv,MCAR,0.4,median,0.808682319,0.015355238,,1.703698701,,0.014758,,0.272339802,,0.003741819
simulation_summary_mice_pmm.csv,MCAR,0.4,mice_pmm,0.927126591,0.007056321,0.00795506,0.178809402,0.015130086,0.00474432,0.003937961,0.53898572,0.006491825,73.93438834
simulation_summary_random_forest.csv,MCAR,0.4,random_forest,0.96944161,0.005658287,,0.09312572,,0.002424,,0.581839303,,9.138090897
simulation_summary_knn.csv,MCAR,0.5,knn,0.811525636,0.014846918,,0.871535477,,0.0072268,,0.353297895,,0.438448992
simulation_summary_kpod.csv,MCAR,0.5,kpod,0.734703335,0.018521728,,0.537098801,,0.02327,,0.641746146,,1.454394869
simulation_summary_median.csv,MCAR,0.5,median,0.729042915,0.018842657,,2.117153031,,0.022614,,0.245363606,,0.00373817
simulation_summary_mice_pmm.csv,MCAR,0.5,mice_pmm,0.885926093,0.008762312,0.010091589,0.24390953,0.019345802,0.00630004,0.004020194,0.525398974,0.006860698,83.65091364
simulation_summary_random_forest.csv,MCAR,0.5,random_forest,0.950638828,0.007890765,,0.1324013,,0.0035188,,0.584187856,,10.44394092
simulation_summary_knn.csv,MNAR,0.1,knn,0.988707077,0.003871856,,0.038616346,,0.000744,,0.572651875,,0.158504384
simulation_summary_kpod.csv,MNAR,0.1,kpod,0.960987684,0.007278151,,0.122408507,,0.0020684,,0.574258346,,0.877788479
simulation_summary_median.csv,MNAR,0.1,median,0.896396845,0.021525045,,0.383346675,,0.0081496,,0.380060183,,0.00367241
simulation_summary_mice_pmm.csv,MNAR,0.1,mice_pmm,0.990257964,0.002577893,0.002614999,0.041902066,0.005323127,0.00062996,0.003791695,0.565037296,0.00592092,32.16605672
simulation_summary_random_forest.csv,MNAR,0.1,random_forest,0.991029171,0.003684414,,0.018145221,,0.0009024,,0.571257527,,5.955778897
simulation_summary_knn.csv,MNAR,0.2,knn,0.901825251,0.024481162,,0.170666947,,0.0113868,,0.492584486,,0.223768816
simulation_summary_kpod.csv,MNAR,0.2,kpod,0.779835348,0.033783536,,0.429607486,,0.0134584,,0.524780866,,1.357373973
simulation_summary_median.csv,MNAR,0.2,median,0.685819659,0.034041986,,0.769486697,,0.02751,,0.280321781,,0.003714169
simulation_summary_mice_pmm.csv,MNAR,0.2,mice_pmm,0.969401994,0.004763406,0.004602623,0.10222849,0.009133689,0.0014462,0.003836512,0.548767894,0.006116985,49.91634292
simulation_summary_random_forest.csv,MNAR,0.2,random_forest,0.977536572,0.006004448,,0.031288733,,0.0023584,,0.571614766,,7.279765503
simulation_summary_knn.csv,MNAR,0.3,knn,0.627725416,0.022427082,,0.444721546,,0.0443172,,0.366790065,,0.305881934
simulation_summary_kpod.csv,MNAR,0.3,kpod,0.557232319,0.023587029,,0.808415024,,0.0267448,,0.476003877,,1.431831878
simulation_summary_median.csv,MNAR,0.3,median,0.500457801,0.020580408,,1.088034367,,0.040612,,0.215672728,,0.003734515
simulation_summary_mice_pmm.csv,MNAR,0.3,mice_pmm,0.93167015,0.008174601,0.008024944,0.182750743,0.015207164,0.00303544,0.003984707,0.523837891,0.007022729,65.64256883
simulation_summary_random_forest.csv,MNAR,0.3,random_forest,0.955738677,0.013456124,,0.049126008,,0.0047972,,0.5715311,,7.659478275
simulation_summary_knn.csv,MNAR,0.4,knn,0.445977954,0.008193174,,0.698368601,,0.0692124,,0.296299743,,0.427696232
simulation_summary_kpod.csv,MNAR,0.4,kpod,0.42611217,0.015257524,,1.149453887,,0.0294732,,0.462197946,,1.596879932
simulation_summary_median.csv,MNAR,0.4,median,0.408449473,0.009437813,,1.357368056,,0.033488,,0.185423248,,0.003755905
simulation_summary_mice_pmm.csv,MNAR,0.4,mice_pmm,0.891678702,0.012670234,0.011867553,0.288390594,0.024204041,0.00345068,0.004162055,0.49915726,0.008626316,75.31369607
simulation_summary_random_forest.csv,MNAR,0.4,random_forest,0.934226707,0.039206378,,0.078194685,,0.0068716,,0.571351671,,8.459420103
simulation_summary_knn.csv,MNAR,0.5,knn,0.397091324,0.004525268,,0.885116175,,0.067594,,0.237665405,,0.521192526
simulation_summary_kpod.csv,MNAR,0.5,kpod,0.435723428,0.017097368,,1.343704985,,0.1005764,,0.520581615,,2.049868284
simulation_summary_median.csv,MNAR,0.5,median,0.528880712,0.007882338,,2.647845089,,0.1027092,,0.462324445,,0.003756675
simulation_summary_mice_pmm.csv,MNAR,0.5,mice_pmm,0.773076284,0.033375809,0.02085894,0.549885721,0.046623071,0.00748544,0.005136601,0.439392703,0.010619354,83.80325699
simulation_summary_random_forest.csv,MNAR,0.5,random_forest,0.893391349,0.069427242,,0.134847831,,0.0097132,,0.560047161,,9.247933964
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Method,Mean ARI,Centroid error,Cluster size error,Silhouette,Runtime,,,,,,,,
Random Forest,0.959,0.06,0.0034,0.57,8.04s,,,,,,,,
MICE PMM,0.918,0.167,0.004,0.526,60.22s,,,,,,,,
KNN,0.768,0.379,0.023,0.432,0.33s,,,,,,,,
K-POD,0.723,0.5,0.0202,0.551,1.32s,,,,,,,,
Median,0.698,1.198,0.0253,0.304,0.004s,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mechanism,RF,MICE PMM,KNN,K-POD,Median,,,,,,,,
MCAR,0.976,0.946,0.926,0.866,0.856,,,,,,,,
MAR,0.949,0.898,0.704,0.672,0.634,,,,,,,,
MNAR,0.95,0.911,0.672,0.632,0.604,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Missing rate,RF,MICE PMM,KNN,K-POD,Median,,,,,,,,
10%,0.992,0.987,0.988,0.959,0.921,,,,,,,,
20%,0.983,0.967,0.914,0.844,0.787,,,,,,,,
30%,0.966,0.932,0.773,0.697,0.657,,,,,,,,
40%,0.945,0.893,0.622,0.582,0.562,,,,,,,,
50%,0.906,0.813,0.541,0.536,0.564,,,,,,,,
